#options: 638x478 fps=100/3 timebase=3/100 bitdepth=8 cabac=0 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=9 lookahead_threads=3 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=0 weightp=0 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=60 rc=abr mbtree=1 bitrate=3000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:64 out:64 type:P dur:2 cpbdur:2 q:39.94 aq:41.35 tex:79905 mv:5536 misc:1207 imb:269 pmb:504 smb:427 d:- ref:0 ;
in:65 out:65 type:P dur:2 cpbdur:2 q:39.93 aq:41.74 tex:64543 mv:4117 misc:1180 imb:177 pmb:507 smb:516 d:- ref:0 ;
in:66 out:66 type:P dur:2 cpbdur:2 q:39.90 aq:41.86 tex:78562 mv:5025 misc:1205 imb:227 pmb:511 smb:462 d:- ref:0 ;
in:67 out:67 type:P dur:2 cpbdur:2 q:39.87 aq:41.60 tex:73715 mv:4562 misc:1243 imb:185 pmb:564 smb:451 d:- ref:0 ;
in:68 out:68 type:P dur:2 cpbdur:2 q:39.87 aq:41.76 tex:75603 mv:4763 misc:1266 imb:234 pmb:519 smb:447 d:- ref:0 ;
in:69 out:69 type:P dur:2 cpbdur:2 q:39.83 aq:41.52 tex:81947 mv:5263 misc:1286 imb:231 pmb:515 smb:454 d:- ref:0 ;
in:70 out:70 type:P dur:2 cpbdur:2 q:39.83 aq:41.91 tex:75409 mv:4741 misc:1266 imb:216 pmb:543 smb:441 d:- ref:0 ;
in:71 out:71 type:P dur:2 cpbdur:2 q:39.80 aq:41.44 tex:82238 mv:5375 misc:1275 imb:235 pmb:553 smb:412 d:- ref:0 ;
in:72 out:72 type:P dur:2 cpbdur:2 q:39.79 aq:42.34 tex:69454 mv:4287 misc:1259 imb:195 pmb:517 smb:488 d:- ref:0 ;
in:73 out:73 type:P dur:2 cpbdur:2 q:39.79 aq:41.75 tex:83330 mv:5037 misc:1225 imb:270 pmb:459 smb:471 d:- ref:0 ;
in:74 out:74 type:P dur:2 cpbdur:2 q:39.77 aq:41.91 tex:69202 mv:4364 misc:1274 imb:216 pmb:530 smb:454 d:- ref:0 ;
in:75 out:75 type:P dur:2 cpbdur:2 q:39.77 aq:41.57 tex:87436 mv:5500 misc:1224 imb:243 pmb:532 smb:425 d:- ref:0 ;
in:76 out:76 type:P dur:2 cpbdur:2 q:39.77 aq:41.62 tex:76513 mv:5037 misc:1282 imb:235 pmb:515 smb:450 d:- ref:0 ;
in:77 out:77 type:P dur:2 cpbdur:2 q:39.77 aq:41.18 tex:74449 mv:4885 misc:1298 imb:234 pmb:537 smb:429 d:- ref:0 ;
in:78 out:78 type:P dur:2 cpbdur:2 q:39.77 aq:41.90 tex:79414 mv:4986 misc:1240 imb:242 pmb:504 smb:454 d:- ref:0 ;
in:79 out:79 type:P dur:2 cpbdur:2 q:39.76 aq:41.56 tex:67116 mv:4546 misc:1274 imb:209 pmb:536 smb:455 d:- ref:0 ;
in:80 out:80 type:P dur:2 cpbdur:2 q:39.77 aq:40.76 tex:94110 mv:6177 misc:1257 imb:291 pmb:537 smb:372 d:- ref:0 ;
in:81 out:81 type:P dur:2 cpbdur:2 q:39.76 aq:40.23 tex:70070 mv:4723 misc:1311 imb:217 pmb:537 smb:446 d:- ref:0 ;
in:82 out:82 type:P dur:2 cpbdur:2 q:39.76 aq:41.29 tex:81734 mv:5203 misc:1263 imb:242 pmb:533 smb:425 d:- ref:0 ;
in:83 out:83 type:P dur:2 cpbdur:2 q:39.74 aq:41.32 tex:75954 mv:5020 misc:1242 imb:225 pmb:522 smb:453 d:- ref:0 ;
