#options: 140x140 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=4 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=8 b_pyramid=2 b_adapt=2 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=60 rc=abr mbtree=1 bitrate=250 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:66 out:67 type:b dur:2 cpbdur:2 q:32.32 aq:36.15 tex:2002 mv:829 misc:169 imb:0 pmb:59 smb:22 d:- ref:0 ;
in:69 out:68 type:P dur:2 cpbdur:2 q:32.48 aq:32.44 tex:14162 mv:786 misc:116 imb:6 pmb:75 smb:0 d:t ref:0 ;
in:68 out:69 type:b dur:2 cpbdur:2 q:32.39 aq:36.47 tex:2852 mv:463 misc:181 imb:0 pmb:46 smb:35 d:t ref:0 ;
in:74 out:70 type:P dur:2 cpbdur:2 q:32.31 aq:32.65 tex:18308 mv:885 misc:103 imb:19 pmb:62 smb:0 d:t ref:0 ;
in:71 out:71 type:B dur:2 cpbdur:2 q:32.42 aq:34.36 tex:8173 mv:1202 misc:145 imb:0 pmb:78 smb:3 d:s ref:0 ;
in:70 out:72 type:b dur:2 cpbdur:2 q:32.45 aq:36.98 tex:2758 mv:724 misc:182 imb:0 pmb:57 smb:24 d:s ref:0 ;
in:72 out:73 type:b dur:2 cpbdur:2 q:32.38 aq:36.86 tex:2477 mv:889 misc:170 imb:0 pmb:61 smb:20 d:- ref:0 ;
in:73 out:74 type:b dur:2 cpbdur:2 q:32.35 aq:36.35 tex:2695 mv:954 misc:167 imb:0 pmb:65 smb:16 d:- ref:0 ;
in:77 out:75 type:P dur:2 cpbdur:2 q:32.42 aq:32.64 tex:14299 mv:870 misc:111 imb:12 pmb:69 smb:0 d:t ref:0 ;
in:75 out:76 type:B dur:2 cpbdur:2 q:32.35 aq:35.74 tex:4227 mv:930 misc:179 imb:1 pmb:65 smb:15 d:t ref:0 ;
in:76 out:77 type:b dur:2 cpbdur:2 q:32.38 aq:36.65 tex:1853 mv:553 misc:178 imb:1 pmb:44 smb:36 d:- ref:0 ;
in:80 out:78 type:P dur:2 cpbdur:2 q:32.19 aq:32.05 tex:16491 mv:898 misc:115 imb:13 pmb:68 smb:0 d:t ref:0 ;
in:78 out:79 type:B dur:2 cpbdur:2 q:32.34 aq:35.41 tex:5162 mv:1031 misc:167 imb:2 pmb:69 smb:10 d:t ref:0 ;
in:79 out:80 type:b dur:2 cpbdur:2 q:32.27 aq:36.28 tex:2131 mv:785 misc:172 imb:1 pmb:55 smb:25 d:- ref:0 ;
in:81 out:81 type:P dur:2 cpbdur:2 q:32.19 aq:32.01 tex:6517 mv:508 misc:119 imb:1 pmb:79 smb:1 d:t ref:0 ;
in:86 out:82 type:P dur:2 cpbdur:2 q:32.32 aq:32.16 tex:17106 mv:905 misc:109 imb:23 pmb:58 smb:0 d:t ref:0 ;
in:83 out:83 type:B dur:2 cpbdur:2 q:32.24 aq:33.54 tex:8995 mv:1157 misc:168 imb:1 pmb:75 smb:5 d:t ref:0 ;
in:82 out:84 type:b dur:2 cpbdur:2 q:32.21 aq:36.19 tex:2835 mv:601 misc:172 imb:0 pmb:47 smb:34 d:t ref:0 ;
in:84 out:85 type:b dur:2 cpbdur:2 q:32.27 aq:36.60 tex:1117 mv:386 misc:169 imb:0 pmb:50 smb:31 d:- ref:0 ;
in:85 out:86 type:b dur:2 cpbdur:2 q:32.29 aq:36.93 tex:2298 mv:689 misc:173 imb:0 pmb:53 smb:28 d:- ref:0 ;
in:90 out:87 type:P dur:2 cpbdur:2 q:32.35 aq:32.27 tex:16448 mv:910 misc:114 imb:19 pmb:61 smb:1 d:t ref:0 ;
in:88 out:88 type:B dur:2 cpbdur:2 q:32.33 aq:34.93 tex:6855 mv:890 misc:191 imb:3 pmb:52 smb:26 d:t ref:0 ;
in:87 out:89 type:b dur:2 cpbdur:2 q:32.33 aq:36.93 tex:2356 mv:641 misc:179 imb:0 pmb:48 smb:33 d:t ref:0 ;
in:89 out:90 type:b dur:2 cpbdur:2 q:32.34 aq:36.94 tex:3613 mv:899 misc:176 imb:2 pmb:58 smb:21 d:- ref:0 ;
in:92 out:91 type:P dur:2 cpbdur:2 q:32.16 aq:32.11 tex:12394 mv:773 misc:129 imb:7 pmb:72 smb:2 d:t ref:0 ;
in:91 out:92 type:b dur:2 cpbdur:2 q:32.25 aq:35.96 tex:2847 mv:654 misc:179 imb:0 pmb:47 smb:34 d:t ref:0 ;
in:93 out:93 type:P dur:2 cpbdur:2 q:32.13 aq:32.32 tex:7256 mv:488 misc:136 imb:0 pmb:75 smb:6 d:t ref:0 ;
in:94 out:94 type:P dur:2 cpbdur:2 q:32.11 aq:31.93 tex:9840 mv:623 misc:121 imb:1 pmb:77 smb:3 d:t ref:0 ;
in:99 out:95 type:P dur:2 cpbdur:2 q:32.19 aq:31.88 tex:18047 mv:934 misc:99 imb:25 pmb:56 smb:0 d:t ref:0 ;
in:96 out:96 type:B dur:2 cpbdur:2 q:32.14 aq:33.90 tex:9057 mv:1059 misc:164 imb:3 pmb:66 smb:12 d:t ref:0 ;
in:95 out:97 type:b dur:2 cpbdur:2 q:32.12 aq:36.90 tex:2548 mv:728 misc:164 imb:0 pmb:56 smb:25 d:s ref:0 ;
in:97 out:98 type:b dur:2 cpbdur:2 q:32.16 aq:36.09 tex:2516 mv:550 misc:166 imb:0 pmb:59 smb:22 d:- ref:0 ;
in:98 out:99 type:b dur:2 cpbdur:2 q:32.17 aq:36.63 tex:3811 mv:1033 misc:148 imb:0 pmb:61 smb:20 d:- ref:0 ;
in:103 out:100 type:P dur:2 cpbdur:2 q:32.30 aq:32.42 tex:15041 mv:876 misc:115 imb:16 pmb:64 smb:1 d:t ref:0 ;
in:101 out:101 type:B dur:2 cpbdur:2 q:32.24 aq:34.19 tex:5353 mv:897 misc:174 imb:1 pmb:60 smb:20 d:t ref:0 ;
